,host_total_listings_count,room_type_1,room_type_2,room_type_3,room_type_4,room_type_-1,accommodates,bathrooms,bedrooms,bed_type_1,bed_type_2,bed_type_3,bed_type_4,price,guests_included,minimum_nights,maximum_nights,availability_365,number_of_reviews
4542,1.0,1,0,0,0,0,4,2.0,2.0,1,0,0,0,350,1,3,1125,0,1
7035,7.0,1,0,0,0,0,2,1.0,1.0,1,0,0,0,119,2,1,365,68,2
5146,2.0,1,0,0,0,0,8,2.0,3.0,1,0,0,0,675,1,2,1125,0,6
326,1.0,0,0,0,1,0,3,1.0,1.0,1,0,0,0,175,1,2,1125,0,0
7702,27.0,0,0,0,1,0,2,1.0,1.0,1,0,0,0,185,2,1,1125,115,0
6582,4.0,1,0,0,0,0,3,1.0,0.0,1,0,0,0,45,1,1,1125,2,33
2399,1.0,1,0,0,0,0,2,1.0,1.0,1,0,0,0,120,1,2,1125,0,11
7452,13.0,1,0,0,0,0,5,3.0,2.0,1,0,0,0,399,1,2,1125,0,19
803,1.0,0,0,0,1,0,3,2.0,1.0,1,0,0,0,150,2,2,1125,0,0
375,1.0,1,0,0,0,0,6,1.0,1.0,1,0,0,0,90,1,3,30,0,1
647,1.0,1,0,0,0,0,3,1.0,1.0,1,0,0,0,75,2,2,10,5,7
2548,1.0,1,0,0,0,0,2,1.0,0.0,1,0,0,0,118,1,30,1125,14,6
1188,1.0,1,0,0,0,0,5,1.0,2.0,1,0,0,0,399,1,3,1125,0,2
5387,2.0,1,0,0,0,0,8,3.0,4.0,1,0,0,0,119,4,2,1125,0,12
5222,2.0,1,0,0,0,0,3,1.0,1.0,1,0,0,0,150,2,2,60,93,30
470,1.0,1,0,0,0,0,2,1.0,1.0,1,0,0,0,60,2,2,7,0,5
8630,1.0,0,0,0,1,0,2,2.0,1.0,1,0,0,0,37,1,2,30,0,12
8671,1.0,1,0,0,0,0,7,1.0,2.0,1,0,0,0,250,1,2,4,54,0
3546,1.0,1,0,0,0,0,4,1.0,1.0,1,0,0,0,500,1,1,1125,0,0
2594,1.0,0,0,0,1,0,2,1.0,1.0,1,0,0,0,67,2,30,180,167,66
5429,2.0,0,0,0,1,0,2,1.0,1.0,1,0,0,0,65,1,2,30,60,95
1297,1.0,1,0,0,0,0,2,1.0,1.0,1,0,0,0,200,1,1,2,0,1
7080,7.0,1,0,0,0,0,8,3.0,3.0,1,0,0,0,95,4,1,1125,252,36
5810,2.0,1,0,0,0,0,5,2.0,2.0,1,0,0,0,91,3,2,1125,89,14
8531,1.0,1,0,0,0,0,11,4.0,5.0,1,0,0,0,1170,1,1,1125,325,0
6416,3.0,1,0,0,0,0,2,1.0,1.0,1,0,0,0,175,1,1,14,38,121
442,1.0,0,0,0,1,0,2,1.0,1.0,1,0,0,0,29,1,2,1125,8,4
5313,2.0,1,0,0,0,0,16,5.0,6.0,1,0,0,0,260,4,2,60,363,31
6191,3.0,1,0,0,0,0,4,1.0,2.0,1,0,0,0,120,2,2,60,236,3
6615,4.0,1,0,0,0,0,4,1.0,1.0,1,0,0,0,175,1,30,1125,365,0
6833,5.0,0,0,0,1,0,2,1.0,1.0,1,0,0,0,250,1,2,1125,0,4
6392,3.0,0,0,0,1,0,1,2.0,1.0,1,0,0,0,35,1,2,1125,152,2
6521,4.0,1,0,0,0,0,6,1.0,2.0,1,0,0,0,82,2,1,60,10,3
